source_id,source_dataset,source_queue,source_type,source_priority,subject_es,body_es,texto,expected_area,expected_intent,expected_urgency,expected_human,expected_security_legal,expected_refund,expected_actionability,expected_technical_repro,expected_route,curation_note,evaluation_split
hf-row-004856,Tobi-Bueck/customer-support-tickets,Billing and Payments,Incident,medium,Error al generar una factura,El sistema muestra un error al generar la factura después de confirmar los datos.,"Error al generar una factura
El sistema muestra un error al generar la factura después de confirmar los datos.",pagos,incidencia,medium,False,False,False,standard_action,True,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-007621,Tobi-Bueck/customer-support-tickets,Customer Service,Request,medium,Solicito corregir un dato de contacto,Necesito corregir un dato administrativo asociado con mi solicitud.,"Solicito corregir un dato de contacto
Necesito corregir un dato administrativo asociado con mi solicitud.",atencion_cliente,solicitud,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-018371,Tobi-Bueck/customer-support-tickets,General Inquiry,Incident,low,Pregunta sobre una opción de servicio,¿Cuál es la opción de servicio adecuada para una consulta general?,"Pregunta sobre una opción de servicio
¿Cuál es la opción de servicio adecuada para una consulta general?",atencion_cliente,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-000443,Tobi-Bueck/customer-support-tickets,Human Resources,Problem,low,Pregunta sobre una herramienta de colaboración,¿Qué información necesito para consultar una herramienta de colaboración?,"Pregunta sobre una herramienta de colaboración
¿Qué información necesito para consultar una herramienta de colaboración?",rrhh,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-009438,Tobi-Bueck/customer-support-tickets,IT Support,Incident,medium,Falla al exportar un reporte,La exportación de un reporte muestra un error después de seleccionar el periodo.,"Falla al exportar un reporte
La exportación de un reporte muestra un error después de seleccionar el periodo.",tecnologia,incidencia,medium,False,False,False,standard_action,True,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-005615,Tobi-Bueck/customer-support-tickets,Product Support,Incident,medium,Error al guardar una preferencia,Al guardar una preferencia aparece un mensaje de error.,"Error al guardar una preferencia
Al guardar una preferencia aparece un mensaje de error.",tecnologia,incidencia,medium,False,False,False,standard_action,True,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-018193,Tobi-Bueck/customer-support-tickets,Returns and Exchanges,Request,high,El producto no corresponde al pedido,El producto recibido no corresponde a lo indicado en el pedido.,"El producto no corresponde al pedido
El producto recibido no corresponde a lo indicado en el pedido.",logistica,reclamo,high,True,False,True,immediate_action,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-007411,Tobi-Bueck/customer-support-tickets,Sales and Pre-Sales,Incident,medium,Información de venta sin compromiso,Solicito información comercial sin comprometer una compra.,"Información de venta sin compromiso
Solicito información comercial sin comprometer una compra.",ventas,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-007643,Tobi-Bueck/customer-support-tickets,Service Outages and Maintenance,Problem,high,Error repetido en el entorno,Un error se repite en el entorno después de intentar la acción indicada.,"Error repetido en el entorno
Un error se repite en el entorno después de intentar la acción indicada.",tecnologia,incidencia,high,False,False,False,immediate_action,True,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-017119,Tobi-Bueck/customer-support-tickets,Technical Support,Incident,medium,Problema de rendimiento en un flujo,Un flujo tarda más de lo esperado y afecta la revisión de datos.,"Problema de rendimiento en un flujo
Un flujo tarda más de lo esperado y afecta la revisión de datos.",tecnologia,incidencia,high,True,False,False,clarification,True,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-012461,Tobi-Bueck/customer-support-tickets,Billing and Payments,Request,medium,Solicito revisar un cobro duplicado,Pido comprobar un cobro que aparece dos veces y devolver sólo el cargo repetido.,"Solicito revisar un cobro duplicado
Pido comprobar un cobro que aparece dos veces y devolver sólo el cargo repetido.",pagos,solicitud,high,False,False,True,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-017267,Tobi-Bueck/customer-support-tickets,Customer Service,Incident,low,El seguimiento quedó sin respuesta,Presenté una solicitud y no recibí una respuesta; solicito continuar el seguimiento.,"El seguimiento quedó sin respuesta
Presenté una solicitud y no recibí una respuesta; solicito continuar el seguimiento.",atencion_cliente,reclamo,high,True,False,False,immediate_action,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-003643,Tobi-Bueck/customer-support-tickets,General Inquiry,Request,low,Duda sobre un procedimiento,No tengo claro qué procedimiento sigue después de una solicitud.,"Duda sobre un procedimiento
No tengo claro qué procedimiento sigue después de una solicitud.",otro,consulta,low,True,False,False,no_action,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-005823,Tobi-Bueck/customer-support-tickets,Human Resources,Incident,low,Explicación de un proceso de personas,Necesito una explicación más clara de una etapa del proceso de personas.,"Explicación de un proceso de personas
Necesito una explicación más clara de una etapa del proceso de personas.",rrhh,consulta,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-013168,Tobi-Bueck/customer-support-tickets,IT Support,Incident,high,Acceso que necesita revisión,Una alerta indica que un acceso requiere revisión antes de continuar.,"Acceso que necesita revisión
Una alerta indica que un acceso requiere revisión antes de continuar.",seguridad,solicitud,high,True,True,False,immediate_action,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-016016,Tobi-Bueck/customer-support-tickets,Product Support,Change,medium,Orientación sobre una actualización,Pido orientación sobre los pasos de una actualización.,"Orientación sobre una actualización
Pido orientación sobre los pasos de una actualización.",tecnologia,consulta,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-015611,Tobi-Bueck/customer-support-tickets,Returns and Exchanges,Change,medium,Consulta sobre una devolución,¿Cuál es el siguiente paso para solicitar una devolución?,"Consulta sobre una devolución
¿Cuál es el siguiente paso para solicitar una devolución?",logistica,consulta,low,False,False,True,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-004520,Tobi-Bueck/customer-support-tickets,Sales and Pre-Sales,Incident,medium,Revisar condiciones comerciales,Pido revisar las condiciones comerciales antes de avanzar.,"Revisar condiciones comerciales
Pido revisar las condiciones comerciales antes de avanzar.",ventas,solicitud,medium,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-015442,Tobi-Bueck/customer-support-tickets,Service Outages and Maintenance,Incident,high,Necesito tiempo de recuperación,Pido información sobre el tiempo estimado de recuperación.,"Necesito tiempo de recuperación
Pido información sobre el tiempo estimado de recuperación.",tecnologia,consulta,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-013955,Tobi-Bueck/customer-support-tickets,Technical Support,Incident,high,Solicito ayuda para configurar una integración,Necesito ayuda para configurar una integración; falta confirmar un parámetro.,"Solicito ayuda para configurar una integración
Necesito ayuda para configurar una integración; falta confirmar un parámetro.",tecnologia,solicitud,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-005250,Tobi-Bueck/customer-support-tickets,Billing and Payments,Request,high,No entiendo un concepto de la factura,La factura incluye un concepto que no puedo identificar y solicito orientación.,"No entiendo un concepto de la factura
La factura incluye un concepto que no puedo identificar y solicito orientación.",pagos,consulta,low,False,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-014751,Tobi-Bueck/customer-support-tickets,Customer Service,Request,low,Pregunta por una comunicación enviada,Quiero confirmar qué información se incluye en una comunicación ya enviada.,"Pregunta por una comunicación enviada
Quiero confirmar qué información se incluye en una comunicación ya enviada.",atencion_cliente,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-005906,Tobi-Bueck/customer-support-tickets,General Inquiry,Incident,high,Solicito orientación antes de continuar,Pido una orientación general antes de tomar el siguiente paso.,"Solicito orientación antes de continuar
Pido una orientación general antes de tomar el siguiente paso.",otro,solicitud,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-003840,Tobi-Bueck/customer-support-tickets,Human Resources,Incident,low,Confirmación de un requisito,Solicito confirmar un requisito antes de avanzar con una gestión.,"Confirmación de un requisito
Solicito confirmar un requisito antes de avanzar con una gestión.",rrhh,solicitud,low,True,False,False,clarification,False,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-016736,Tobi-Bueck/customer-support-tickets,IT Support,Request,high,Servicio de TI no disponible,El servicio de TI no está disponible para varios usuarios desde hace un tiempo.,"Servicio de TI no disponible
El servicio de TI no está disponible para varios usuarios desde hace un tiempo.",tecnologia,incidencia,high,True,False,False,immediate_action,True,review,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-009578,Tobi-Bueck/customer-support-tickets,Product Support,Incident,high,Comportamiento inesperado,El producto presenta un comportamiento que no coincide con la descripción.,"Comportamiento inesperado
El producto presenta un comportamiento que no coincide con la descripción.",tecnologia,incidencia,medium,False,False,False,standard_action,True,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-014171,Tobi-Bueck/customer-support-tickets,Returns and Exchanges,Problem,medium,Intercambio de un artículo,Solicito intercambiar un artículo por otro de características equivalentes.,"Intercambio de un artículo
Solicito intercambiar un artículo por otro de características equivalentes.",logistica,solicitud,medium,False,False,True,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-019865,Tobi-Bueck/customer-support-tickets,Sales and Pre-Sales,Request,medium,Recomendación para una compra,Necesito una recomendación para comparar una compra con otra opción.,"Recomendación para una compra
Necesito una recomendación para comparar una compra con otra opción.",ventas,consulta,low,False,False,False,standard_action,False,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-017090,Tobi-Bueck/customer-support-tickets,Service Outages and Maintenance,Request,high,Monitoreo muestra una alerta,El monitoreo muestra una alerta y necesito el siguiente paso.,"Monitoreo muestra una alerta
El monitoreo muestra una alerta y necesito el siguiente paso.",tecnologia,incidencia,medium,False,False,False,standard_action,True,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
hf-row-011486,Tobi-Bueck/customer-support-tickets,Technical Support,Problem,medium,Un flujo no termina correctamente,El flujo se detiene antes de completar y no se observa un mensaje claro.,"Un flujo no termina correctamente
El flujo se detiene antes de completar y no se observa un mensaje claro.",tecnologia,incidencia,medium,False,False,False,standard_action,True,accept,Traducción/adaptación manual al español; subject/body originales omitidos; gold rubricado con ticket-rubric-v1.,holdout
